慢熊 slow_bear — avg_r > 0 的全部 688 条

    #  策略                        币种             周期    方向     笔数    avg_r     胜率    total_r
  ───  ───────────────────────── ──────────── ──── ───── ────── ──────── ────── ──────────
  295  cmf                       LINK          15m     L     63  +0.0297  76.2%      +1.87
  296  bbsqueeze                 LINK           1h     L     55  +0.0294  63.6%      +1.62
  297  stddev                    SOL            1h     S     72  +0.0292  44.4%      +2.10
  298  vwap                      ETH_COIN       1h     S    224  +0.0291  25.4%      +6.51
  299  vpt                       SOL            1h     S     57  +0.0290  42.1%      +1.65
  300  cmo                       AVAX           5m     L     73  +0.0290  63.0%      +2.12
  301  trix                      AVAX          15m     S     40  +0.0290  57.5%      +1.16
  302  cmo                       XRP            1m     S     42  +0.0288  54.8%      +1.21
  303  ma                        ADA            1h     S    147  +0.0285  36.7%      +4.19
  304  ma                        BNB            1h     L    213  +0.0282  35.7%      +6.01
  305  demandindexlong           AVAX           5m     L     52  +0.0281  82.7%      +1.46
  306  ma                        BTC            1h     L    222  +0.0280  33.3%      +6.21
  307  atrtrailingstop           ETH            5m     S     57  +0.0278  52.6%      +1.59
  308  ccilong                   BTC            1h     L     38  +0.0278  68.4%      +1.06
  309  ma                        ETH_COIN       1h     L     92  +0.0277  39.1%      +2.55
  310  trix                      BTC            1h     L     31  +0.0275  51.6%      +0.85
  311  trix                      ETH_COIN      15m     L     46  +0.0275  43.5%      +1.27
  312  smc                       TRX            1h     L    138  +0.0274  41.3%      +3.79
  313  demandindex               ETH_COIN       1h     S    130  +0.0274  29.2%      +3.56
  314  ulcer                     TRX            1h     S    139  +0.0269  38.1%      +3.74
  315  keltner                   LINK           1h     S     53  +0.0269  50.9%      +1.43
  316  vwap                      DOT            1h     S    233  +0.0268  27.9%      +6.25
  317  ma                        BTC            1h     S    231  +0.0267  36.8%      +6.17
  318  tvi                       ETH_COIN       1h     S    187  +0.0267  32.1%      +4.99
  319  keltner                   LINK           1h     L     48  +0.0267  47.9%      +1.28
  320  pivotpoints               TRX            1h     L    138  +0.0266  42.0%      +3.67
  321  pivotpoints               TRX            1h     S    122  +0.0263  38.5%      +3.21
  322  ma                        ADA            1h     L    150  +0.0261  36.0%      +3.92
  323  ma                        BNB_COIN       1h     S    124  +0.0259  33.9%      +3.21
  324  accumulationdistribution  DOT            1h     L     32  +0.0254  68.8%      +0.81
  325  cmf                       DOT            1h     L     32  +0.0254  68.8%      +0.81
  326  demandindex               ADA            1h     S    220  +0.0254  37.3%      +5.59
  327  atr                       BNB            1h     S    141  +0.0253  40.4%      +3.57
  328  aroon                     BNB_COIN       1h     S     99  +0.0252  62.6%      +2.49
  329  rsidivergence             LINK           1h     L     55  +0.0250  45.5%      +1.38
  330  ccilong                   BNB            1h     L     52  +0.0248  71.2%      +1.29
  331  cmo                       DOT            5m     S     68  +0.0248  61.8%      +1.69
  332  bbsqueeze                 LINK          15m     S    169  +0.0248  68.6%      +4.19
